Nazwa kategorii,Ilość bezpośrednich artykułów,Ilość bezpośrednich subkategorii,Ilość subkategorii ,Ilość artykułów,Liczba wersji językowych,Liczba wyświetleń strony kategorii w dniach (01-01-2019 do 01-08-2019),Liczba wyświetleń artykułów 11.08.2019Suma punktów
Povijesna_znanost,36,9,1079,34759,5,223,4,36115
Znanstvenici,18,36,346,4676,151,890,5,6122
Hrvatski_jezik,99,9,16,437,57,629,1,1248
Jezikoslovci,59,5,28,311,116,312,3,834
Politika_Hrvatske,57,11,863,20866,56,338,1,22192
Političari_po_državama,0,71,250,3010,101,232,2,3666
Životopisi,_Hrvatska,210,36,480,13209,58,791,2,14786
Politika,322,27,11044,122015,212,1161,1,134782
Povijest,45,38,4737,68091,234,1354,1,74500
Vojna_oprema,2,6,154,1636,72,224,3,2097
Osječko-baranjska_županija,15,10,65,1407,27,133,1,1658
Popisi_(Hrvatska),28,4,38,843,24,362,2,1301
Dramatici,50,4,7,250,95,179,1,586
Umjetnici,14,15,1094,15021,123,370,1,16638
Glazba,138,36,1081,12079,217,942,1,14494
Znanost,65,33,17936,181151,239,870,7,200301
Glazbenici,23,14,499,5947,155,1416,1,8055
Glazbenici_po_instrumentu,0,10,100,2504,68,145,3,2830
Baranjski_leksikon,206,5,26,665,1,350,1,1254
Gradovi_u_Osječko-baranjskoj_županiji,3,7,42,930,8,267,1,1258
Hrvatska_umjetnost,30,8,394,9636,20,198,1,10287
Umjetnici_po_državama,0,60,788,13765,84,141,3,14841
Plemstvo,86,18,166,2299,84,278,2,2933
Povijest_Bosne_i_Hercegovine_1102.-1463.,57,2,7,100,0,267,4,437
Vladari,128,14,201,2750,47,499,1,3640
Životopisi,_Bosna_i_Hercegovina,14,15,141,2150,42,255,3,2620
Hercegbosanska_županija,13,7,13,417,10,96,2,558
Općine_u_Federaciji_Bosne_i_Hercegovine,55,52,106,2297,10,282,1,2803
Hrvatska_scenska_umjetnost,12,1,8,873,1,71,2,968
Hrvatski_umjetnici,35,13,141,5537,26,815,1,6568
Kazalište,83,14,41,2054,140,500,1,2833
Filmski_umjetnici,12,9,132,3289,8,1257,1,4708
Glumci,1,4,130,2903,163,235,2,3438
Državni_simboli,4,5,17,550,19,313,2,910
Grbovi,57,6,33,286,68,284,1,735
Automobili,35,7,134,1210,106,612,1,2105
Proizvođači_vozila,16,5,98,708,36,117,1,981
Scenaristi,49,1,8,263,76,127,3,527
Cestovna_vozila,29,6,149,1528,35,324,1,2072
Klase_automobila,15,13,13,241,37,715,1,1035
Cestovni_promet,35,4,167,1831,63,235,1,2336
Kopnena_vozila,8,4,187,2045,35,197,1,2477
Književni_žanrovi,17,8,149,2503,87,2174,5,4943
Naselja,17,6,1545,41244,106,203,3,43124
Urbana_geografija,17,4,1321,26816,56,231,2,28447
Urbanizam,34,4,1320,26789,71,236,3,28457
Države_svijeta,3,18,10835,120059,222,938,1,132076
Gradovi,12,8,1303,26627,184,460,2,28596
Hrvatska_vojna_povijest,131,8,77,1911,21,465,2,2615
Povijest_neovisne_Hrvatske,52,7,67,1921,1,221,1,2270
Ratovi,124,19,286,4903,99,805,1,6237
Valpovo,1,3,4,91,3,51,1,154
Pravedna_uporaba,0,22,56,3,42,243,2,368
Animirani_film,12,11,69,750,93,383,2,1320
Filmovi_po_žanrovima,0,24,67,1552,83,4773,2,6501
Podnacionalni_entiteti,50,78,1759,41035,59,222,1,43204
Zemljopis_SAD-a,36,12,223,7906,111,262,1,8551
Slike_prema_autorskom_pravu,0,6,89,7,43,194,2,341
Gradovi_po_državama,1,129,1185,25686,103,1894,2,29000
Vodene_mase,34,8,528,6941,98,261,1,7871
Geologija,73,22,10762,120982,165,455,3,132462
Geomorfologija,62,19,10723,120443,84,311,1,131643
Televizija,34,12,183,4154,143,273,1,4800
Glazba_po_žanru,0,12,248,3421,43,178,2,3904
Potreban_bolji_naslov_kategorije,0,30,794,10899,0,65,2,11790
Općine_po_državama,2,10,330,8167,37,97,1,8644
Zemljopis_Hrvatske,68,30,903,22300,84,548,1,23934
Administrativne_podjele,7,4,1806,43083,75,263,1,45239
Simboli,59,7,67,861,112,806,1,1913
Športovi,32,56,2555,20676,93,1588,7,25007
Države_u_Aziji,0,50,1454,12591,183,9316,2,23596
Zaštićena_područja,60,8,46,599,69,261,1,1044
Prirodni_sateliti,12,6,8,224,83,179,4,516
Saturn,7,1,1,66,82,101,1,259
Jupiter,10,1,1,74,86,116,4,292
Neptun,3,1,1,17,76,86,0,184
Nebeska_tijela,30,17,117,3844,105,467,1,4581
Sunčev_sustav,41,8,40,1142,154,300,1,1686
Uran,4,1,1,30,78,109,2,225
Astronomija,162,23,265,10773,215,756,1,12195
Indoeuropska_mitologija,5,7,34,646,23,160,5,880
Slavenska_kultura,17,2,31,433,38,195,6,722
Stara_Grčka,48,12,63,689,108,336,8,1264
Starogrčka_književnost,16,3,22,385,69,112,5,612
Stari_Rim,139,18,120,1724,104,687,2,2794
Japanska_kultura,32,4,58,521,97,539,1,1252
Mitologija,89,17,61,955,144,582,5,1853
Religija_u_Japanu,3,2,4,43,56,129,6,243
Održavanje_Wikipedije,0,60,19442,192220,103,1994,7,213826
Matematika,142,19,56,861,227,1106,1,2412
Fizika,92,23,1099,36231,201,764,7,38417
Računalni_jezici,8,3,5,87,62,177,1,343
Bivše_države,241,21,487,5168,126,748,2,6793
Povijest_Armenije,38,5,43,747,78,148,1,1060
Povijest_Azerbajdžana,16,5,43,741,81,133,1,1020
Povijest_Bjelorusije,43,2,40,735,69,218,1,1108
Povijest_Estonije,15,1,38,725,64,106,1,950
Povijest_Gruzije,54,2,39,733,75,126,1,1030
Povijest_Kazahstana,6,2,40,735,66,117,1,967
Povijest_Kirgistana,9,1,38,725,59,70,1,903
Povijest_Latvije,14,1,38,725,63,118,1,960
Povijest_Litve,31,2,39,734,78,115,1,1000
Povijest_Moldavije,12,2,40,735,61,81,1,932
Povijest_Rusije,147,10,53,905,113,338,1,1567
Povijest_Tadžikistana,7,2,40,735,60,101,1,946
Povijest_Turkmenistana,6,2,40,735,58,100,1,942
Povijest_Ukrajine,135,13,67,1276,81,267,3,1842
Povijest_Uzbekistana,8,2,40,735,67,81,1,934
Kronologija,3,5,972,33628,118,217,2,34945
Južni_Slaveni,12,7,265,5969,30,182,5,6470
Ekonomija,85,23,1344,18575,182,790,1,21000
Filozofija,106,17,1076,34825,199,852,7,37082
Religijske_tradicije_i_pokreti,18,15,713,8384,75,236,2,9443
Geografija,47,14,11185,122347,244,931,1,134769
Antička_povijest,32,7,202,2606,14,869,2,3732
Povijest_Grčke,48,8,72,807,102,197,8,1242
Političari,36,10,306,3504,158,558,2,4574
Enigmatika,13,1,1,20,53,196,1,285
Fizička_geografija,44,7,10742,120697,95,361,1,131947
Kiparstvo,42,7,51,1091,108,295,3,1597
Likovni_umjetnici,30,15,116,1760,22,582,1,2526
Znanost_i_tehnologija_u_Hrvatskoj,43,15,219,4446,29,250,5,5007
Znanstvenici_po_državama,0,38,221,3943,93,209,5,4509
Biskupi,122,8,21,703,90,341,1,1286
Hrvatski_katolički_svećenici,504,1,4,288,14,831,1,1643
Katoličanstvo_u_Hrvatskoj,126,16,46,1448,9,212,1,1858
Kemija,256,25,721,10165,210,3227,1,14605
Žanrovi_rock_glazbe,23,3,129,1167,52,266,1,1641
Etnografija,25,7,2443,21766,84,186,2,24513
Publikacije,9,3,34,1735,71,122,2,1976
Tiskani_mediji,19,8,64,772,0,294,2,1159
Hrvatska_kultura,25,9,433,10349,57,224,1,11098
Umjetnost_po_državama,3,39,1398,23519,83,168,1,25211
Srbija,51,20,764,8381,163,363,3,9745
Tercijarne_djelatnosti,4,3,175,2221,0,2766,1,5170
Naselja_u_Srbiji,73,5,39,961,75,193,2,1348
Glazbenici_po_državama,0,51,386,5650,95,375,1,6558
Hrvatska_glazba,54,11,112,2595,36,739,1,3548
Književnost_po_državama,2,29,215,5060,96,132,3,5537
Meteorologija,109,7,12,431,139,472,1,1171
Geofizika,14,4,14,243,92,162,1,530
Voda,49,5,542,7132,134,303,1,8166
Antropogeografija,21,9,10947,120959,87,334,1,132358
Etničke_grupe_Australije,25,2,5,80,39,151,1,303
Hrvatsko_iseljeništvo,66,34,77,1675,13,365,1,2231
Katoličanstvo,152,23,331,3747,99,322,1,4675
Sveta_Stolica,33,6,30,490,49,131,3,742
Vladari_po_državama,0,52,128,2130,15,221,1,2547
Životopisi,_Rim,52,6,22,284,76,189,6,635
Američki_političari,34,15,15,147,118,235,3,567
Politika_SAD-a,65,5,17,185,97,250,3,622
Predsjednici_po_državama,2,33,34,282,72,219,1,643
Povijest_Sjeverne_Amerike,11,4,43,396,70,135,3,662
SAD,52,21,635,17244,235,502,3,18692
Komunikacije,75,15,428,9849,138,653,1,11159
Atletika,47,7,79,569,83,311,1,1097
Športaši,0,38,1117,9893,117,277,2,11444
Povijest_istraživanja_i_otkrića,24,2,46,613,52,198,1,936
Glavni_gradovi_u_Europi,45,38,225,5556,110,5074,7,11055
Gradovi_u_Hrvatskoj,3,27,558,11393,85,576,1,12643
Hrvatske_županije,24,24,775,19535,55,578,2,20993
Gradovi_u_Splitsko-dalmatinskoj_županiji,16,15,106,2649,10,604,2,3402
Organizacije,36,11,1354,27526,132,293,1,29353
Povijest_Crne_Gore_1989._-_2006.,16,2,4,49,0,71,24,166
Povijest_Srbije_1989._-_2006.,30,5,30,478,0,101,1,645
Hrvatski_glazbenici,229,14,44,1252,44,2528,1,4112
Skladatelji_po_državama,0,17,17,561,78,313,2,988
Hrvatska_književnost,72,10,63,2599,31,248,1,3024
Književnici_po_državama,0,47,145,3891,103,298,1,4485
Kraljevina_Nizozemska,2,4,102,835,41,146,6,1136
Etničke_grupe_Bosne_i_Hercegovine,8,4,89,2142,32,253,1,2529
Hrvati_izvan_Hrvatske,3,10,194,4635,1,149,1,4993
Hrvatski_književnici_iz_Bosne_i_Hercegovine,24,9,9,411,1,142,1,597
Hrvatske_povijesne_regije,7,6,425,9280,25,555,2,10300
Hrvatski_poluotoci,10,2,67,1780,32,5023,1,6915
Državna_uprava_u_Hrvatskoj,33,3,782,19596,1,148,1,20564
Županije,1,4,978,24419,48,97,1,25548
Hrvatski_pjevači,166,2,2,198,42,20078,4,20492
Hrvatski_scenski_umjetnici,18,5,5,830,1,143,2,1004
Operni_pjevači,48,2,3,102,69,916,4,1144
Hrvatski_političari,93,15,26,1070,67,1683,1,2955
Nacionalna_sigurnost,14,4,30,434,71,144,7,704
Wikipedijine_slike,0,8,134,8,79,313,1,543
Glazba_po_državama,0,37,644,9266,89,281,1,10318
Kršćanske_konfesije,11,8,380,4342,72,199,1,5013
Filmski_glumci_po_državama,0,34,41,2487,44,703,2,3311
Hrvatski_filmski_umjetnici,14,8,8,825,0,468,1,1324
Hrvatski_glumci,4,3,3,767,44,1606,2,2429
Države_u_Africi,0,55,554,4464,180,6988,1,12242
Elektronički_mediji,7,8,230,5101,1,112,1,5460
Računarstvo,245,35,197,2761,133,776,3,4150
Wikipedija,10,29,19442,192220,239,2758,7,214705
Medicinske_specijalnosti,5,18,171,1544,82,405,1,2226
Medicina,42,24,304,4101,172,1119,1,5763
Televizijske_serije_po_žanru,0,8,93,1224,53,187,1,1566
Indoeuropski_jezici,19,13,177,1638,145,192,1,2185
Slaveni,13,5,345,6772,72,194,5,7406
Hrvatski_športaši,55,25,74,2716,58,1582,2,4512
Nogomet_u_Hrvatskoj,32,20,435,3462,56,304,1,4310
Nogometaši_po_državama,0,65,108,3086,83,338,2,3682
Nogomet,31,17,1215,8026,163,402,2,9856
Hrvatski_športski_klubovi,25,26,222,3608,32,433,1,4347
Nogometni_klubovi_po_državama,0,42,257,4173,67,1244,1,5784
Športski_klubovi,0,22,513,6126,61,188,2,6912
Košarka,20,10,201,2336,101,155,1,2824
Košarka_u_Hrvatskoj,9,11,40,591,33,277,2,963
Košarkaški_klubovi_po_državama,0,16,44,505,33,121,1,720
Košarkaši_po_državama,0,29,49,1208,50,107,1,1444
Gradovi_u_Primorsko-goranskoj_županiji,13,8,31,779,10,173,1,1015
Genealogija,15,3,5,190,83,248,1,545
Imena,83,3,5,190,70,895,1,1247
Povijest_Turske,39,4,19,390,98,188,2,740
Sporni_članci,0,6,6,104,0,98,2,216
Međunarodna_športska_natjecanja,21,20,260,3388,38,104,1,3832
Višešportska_natjecanja,11,6,102,1512,53,123,1,1808
Zemljopis_Rusije,63,9,132,944,116,270,1,1535
Zemljopis_po_državama,0,156,2915,55225,127,381,1,58805
Kriptologija,3,2,5,53,15,143,4,225
Planine_po_državama,0,35,54,640,83,215,3,1030
Planine_u_Europi,5,23,41,547,82,949,3,1650
Zemljopis_Bosne_i_Hercegovine,41,16,286,7764,71,225,3,8406
Rijeke_po_državama,0,106,126,1069,95,205,14,1615
Rijeke_u_Europi,3,37,52,712,108,345,14,1271
Zemljopis_Slovenije,19,11,114,3461,76,163,1,3845
Zemljopis_Mađarske,29,13,77,2099,90,164,1,2473
Zemljopis_Austrije,15,6,33,520,90,163,1,828
Otoci_Jadranskog_mora,142,4,63,1698,34,214,1,2156
Otoci_po_državama,0,26,124,2269,90,170,1,2680
Otoci_u_Europi,33,24,136,2194,80,657,1,3125
Suvremena_povijest,6,6,312,5319,55,114,5,5817
Vojna_povijest_20._stoljeća,6,3,174,2558,0,81,4,2826
Povijest_Bosne_i_Hercegovine,44,16,414,4111,61,539,2,5187
Povijest_Crne_Gore,70,17,373,3279,64,226,2,4031
Povijest_Sjeverne_Makedonije,42,8,359,3041,49,65,2,3566
Povijest_Slovenije,31,5,371,3406,66,159,2,4040
Povijest_Srbije,66,21,428,4167,76,269,2,5029
Povijest_religija,6,6,23,617,79,219,2,952
Srednji_vijek,92,17,157,2101,119,355,1,2842
Države_u_Južnoj_Americi,0,13,388,3757,135,3324,3,7620
Povijest_filozofije,7,5,38,307,70,134,8,569
Antička_filozofija,6,4,18,131,54,107,1,321
Filozofi_po_razdobljima,0,4,16,217,48,231,1,517
Bosanska_i_humska_vlastela,32,5,5,56,10,541,9,658
Vladarske_dinastije,91,44,74,1186,7,487,4,1893
Srednjovjekovna_filozofija,3,2,4,37,50,78,1,175
Psihologija,218,10,119,1736,161,1141,8,3393
Bosna_i_Hercegovina_pod_Austro-Ugarskom,22,5,21,464,0,171,9,692
Habsburška_Monarhija,60,2,17,396,27,333,9,844
Hrvatska_povijest_1790.-1918.,175,15,39,1055,1,357,9,1651
Povijest_Austrije,34,5,22,534,90,215,4,904
Povijest_Italije,72,16,179,2585,106,242,2,3202
Povijest_Mađarske,84,6,23,560,85,176,4,938
Povijest_Rumunjske,50,8,27,540,73,134,9,841
Povijest_Slovačke,33,6,27,528,70,129,9,802
Povijest_Slovenije_976.-1918.,5,3,18,455,0,62,9,552
Povijest_Češke,33,7,27,553,77,160,4,861
Vojvodina,92,18,160,2775,50,183,1,3279
Mediji,64,15,389,9232,128,490,1,10319
Novinarstvo,49,4,38,1392,114,240,1,1838
Pisci,63,4,198,4935,0,549,3,5752
Indoarijski_narodi,7,3,7,55,20,111,2,205
Indoeuropljani,6,12,454,8162,58,188,5,8885
Ruske_oblasti,21,48,55,404,80,104,1,713
Sjeverozapadni_savezni_okrug,9,10,10,96,43,97,1,266
Arhitektura,70,12,1990,32199,169,555,2,34997
Nagrađeni_filmski_umjetnici,9,10,38,725,0,104,1,887
Oscar,22,2,18,496,83,143,2,766
Liječnici_po_državama,0,11,11,352,68,103,1,546
Igre_na_ploči,11,1,58,313,73,208,1,665
Zemljopis_Italije,41,9,66,1292,114,246,1,1769
Izvođači_klasične_glazbe,6,7,24,532,44,181,3,797
Narodi,68,35,1737,14368,5,337,5,16555
Privolški_savezni_okrug,9,14,16,174,42,69,1,325
Ruske_republike,0,21,23,219,91,101,1,456
Operacijski_sustavi,55,7,10,135,113,367,1,688
Unix,10,2,4,68,67,168,13,332
Astronomi_po_državama,0,11,11,196,67,102,3,390
Astronomija_u_Hrvatskoj,22,2,2,44,8,169,2,249
Ujedinjeno_Kraljevstvo,48,25,410,4763,207,454,1,5908
Pismo,61,8,11,214,119,398,1,812
Teologija,103,4,21,565,109,449,1,1252
Liječništvo,9,2,25,644,0,110,1,791
Osobe_u_zdravstvu,9,2,21,588,0,105,1,726
Ruski_krajevi,6,7,9,88,66,74,1,251
Sibirski_savezni_okrug,13,14,15,94,39,82,1,258
Dalekoistočni_savezni_okrug,9,8,8,64,38,77,1,205
Uralski_savezni_okrug,5,6,6,38,38,78,3,174
Središnji_savezni_okrug,11,18,21,235,41,71,1,398
Slikarstvo,79,9,133,1987,126,559,1,2894
Hrvatski_likovni_umjetnici,40,7,14,694,1,1020,1,1777
Slikari_po_državama,0,21,29,867,86,367,1,1371
Hrvatska_likovna_umjetnost,30,2,16,718,2,102,1,871
Kipari_po_državama,0,6,8,209,62,121,1,407
Književnici,59,13,171,4296,180,579,1,5299
Znanstvena_fantastika,74,5,24,460,85,272,1,921
Zemljopis_Njemačke,35,9,76,1058,107,173,2,1460
Filmski_redatelji_po_državama,0,17,18,436,67,434,1,973
Računala,82,3,4,107,115,370,1,682
Crtači_stripa,23,1,1,36,40,219,1,321
Hrvatski_strip,6,1,1,36,3,91,1,139
Strip,42,11,62,745,104,365,1,1330
Ples,49,4,6,96,134,510,1,800
Fizika_elementarnih_čestica,38,1,1,27,87,203,1,358
Nuklearna_fizika,131,2,6,80,90,338,3,650
Organizacije_u_Hrvatskoj,15,3,29,695,25,258,1,1026
Političke_stranke_po_državama,0,12,47,745,79,130,1,1014
Federacija_Bosne_i_Hercegovine,22,3,220,5268,29,151,1,5694
Izmišljeni_likovi,32,10,82,1326,91,510,5,2056
Južni_savezni_okrug,11,13,13,91,43,79,1,251
Šah,27,13,57,289,99,214,2,701
Letjelice,5,3,112,918,1,149,2,1190
Ruski_savezni_gradovi,2,2,4,108,0,105,1,222
Promet,34,15,575,5828,167,389,2,7010
Oceani,3,5,313,5823,159,331,1,6635
Hidrografija,11,2,529,6963,71,196,1,7773
Zrakoplovstvo,58,15,192,1676,115,306,1,2363
Pomorstvo,98,16,287,2026,18,263,1,2709
Vodeni_promet,28,4,62,891,86,501,2,1574
Kopneni_promet,4,6,250,2960,42,205,1,3468
Vozila,34,5,216,2340,96,323,1,3015
Astronautika,15,12,30,480,52,150,1,740
Države_u_Australiji_i_Oceaniji,1,14,176,1764,134,752,1,2842
Hrvatska_povijest_1527.-1790.,127,5,22,503,1,333,9,1000
Britanski_književnici,40,2,3,107,100,394,1,647
Životopisi,_Engleska,125,10,27,385,105,198,1,851
Hrvatske_udruge,193,16,241,3889,2,478,1,4820
Hrvatski_povjesničari,372,4,4,155,20,1196,2,1753
Irski_umjetnici,3,3,9,66,39,81,1,202
Francuska_književnost,50,5,7,169,92,148,3,474
Francuski_umjetnici,23,11,22,376,70,406,4,912
Ruska_književnost,25,4,7,116,85,150,6,393
Ruski_umjetnici,12,4,14,179,68,257,1,535
Njemačka_književnost,38,1,3,103,71,193,1,410
Njemački_umjetnici,11,8,31,429,72,385,1,937
Američka_književnost,83,5,6,191,84,215,5,589
Američki_umjetnici,25,9,90,2918,79,196,2,3319
Talijanska_književnost,22,1,3,70,75,145,1,317
Talijanski_umjetnici,19,8,26,366,77,414,2,912
Hokej,7,7,207,2033,58,91,1,2404
Šah_u_Hrvatskoj,14,3,3,113,11,90,2,236
Šahisti_po_državama,0,15,16,170,57,159,2,419
Antičke_države,9,3,34,480,0,611,1,1138
Carstva,62,9,52,846,91,346,1,1407
Automobilizam,35,5,43,663,60,183,1,990
Filozofi_po_državama,0,17,26,501,78,179,1,802
Francuski_znanstvenici,63,14,16,232,88,279,1,693
Njemački_znanstvenici,47,12,14,304,84,394,1,856
Politika_Njemačke,16,2,21,174,87,177,2,479
Životopisi,_Njemačka,93,12,109,1665,67,239,1,2186
Njemački_glazbenici,22,8,19,203,84,376,1,713
Fizičari_po_državama,0,14,16,370,74,131,4,609
Izumitelji_po_državama,0,7,7,117,59,202,2,394
Geografi,23,11,17,168,84,236,5,544
Njemačka,36,17,365,4484,239,513,1,5655
Europska_športska_natjecanja,39,3,45,780,0,50,1,918
Afrika,16,8,579,4600,229,346,1,5779
Zemljopis_Francuske,53,18,71,683,112,213,1,1151
Francuska,45,16,302,3281,241,415,1,4301
Životopisi,_Francuska,125,14,95,1337,29,218,1,1819
Misterije,39,2,6,82,56,538,3,726
Zoologija,73,10,4695,44880,142,295,3,50098
Mediji_po_državama,0,13,135,3775,75,119,1,4118
Germani,45,8,24,433,75,276,1,862
Liječnici,81,7,19,522,104,356,1,1090
Psihijatrija,62,5,17,234,82,444,2,846
Hrvatski_mediji,4,4,59,2199,25,238,1,2530
Novinari_po_državama,0,12,17,814,73,132,4,1052
Talijanski_glazbenici,25,6,12,104,81,521,1,750
Udruge,13,6,538,6585,2,87,2,7233
Politika_po_državama,1,45,1418,30197,112,204,1,31978
Rukomet_u_Hrvatskoj,27,9,84,626,30,298,1,1075
Rukometaši_po_državama,0,35,37,979,39,117,1,1208
Ruski_glazbenici,27,5,6,52,77,211,2,380
Slovenski_umjetnici,27,5,14,145,25,151,2,369
Srpska_književnost,21,1,7,118,32,116,1,296
Srpski_umjetnici,21,4,21,393,32,118,5,594
Austrijski_umjetnici,14,6,12,128,52,190,1,403
Austrijski_glazbenici,11,5,5,39,72,186,4,322
Francuski_glazbenici,14,6,7,71,84,240,3,425
Dirigenti_po_državama,0,9,9,148,46,121,1,334
Švedska_književnost,8,1,1,19,56,87,3,175
Kratice,205,2,2,1,67,2447,0,2724
Patologija,21,3,56,247,71,171,5,574
Franci,4,1,2,53,59,155,10,284
Povijest_Francuske,103,19,59,617,126,341,2,1267
Povijest_Njemačke,83,16,63,1062,119,278,5,1626
Scenski_umjetnici,3,8,26,1383,1,326,1,1748
Anatomija,70,4,66,626,162,499,2,1429
Nogomet_po_državama,0,69,1105,7355,78,256,2,8865
Šport_u_Hrvatskoj,50,58,845,7064,55,278,2,8352
Košarka_po_državama,0,33,163,1826,52,85,1,2160
Kemičari_po_državama,0,7,7,141,64,126,1,346
Britanski_znanstvenici,50,14,17,238,86,166,1,572
Američki_znanstvenici,62,15,16,400,91,266,3,853
Evolucijska_biologija,33,1,2,78,61,173,1,349
Antropologija,74,6,6207,55439,148,494,3,62371
Britanska_umjetnost,4,5,109,1906,52,92,3,2171
Fantastika,30,3,99,1539,68,209,5,1953
Germanska_mitologija,8,1,3,140,52,233,2,439
Archaeplastida,1,2,619,4458,0,38,2,5120
Botanika,87,10,641,4667,159,465,1,6030
Živi_svijet,8,11,5930,49480,111,324,3,55867
Opisthokonta,4,3,4712,44890,0,48,3,49660
Bosanskohercegovačka_književnost,8,1,17,511,23,105,4,669
Bosanskohercegovački_umjetnici,12,6,42,783,23,144,4,1014
Filmska_umjetnost_po_državama,1,10,125,5103,75,171,1,5486
Filmovi_po_državama,0,34,58,2029,96,351,2,2570
Hrvatska_filmska_umjetnost,17,6,30,1486,29,397,1,1966
Filmski_umjetnici_po_državama,0,12,51,2485,0,198,1,2747
Božić,37,2,2,33,96,337,2,509
Kršćanska_glazba,28,6,9,225,47,125,1,441
Skladbe,38,9,114,1270,123,226,2,1782
Športovi_na_vodi,11,4,27,214,0,61,3,320
Fašizam_i_nacizam,15,6,21,262,87,296,1,688
Manifestacije,25,17,879,7267,45,449,4,8686
Zvijeri,22,7,33,284,20,385,11,762
U_izradi,1266,98,336,46787,199,3164,2,51852
Židovi,99,12,24,517,97,429,1,1179
Dalmacija,21,5,271,5829,36,251,1,6414
Srijem,138,7,47,667,9,203,1,1072
Istra,66,6,63,1665,24,370,1,2195
Međimurje,16,3,19,328,0,106,2,474
Bakteriologija,5,2,42,86,65,95,2,297
Mikroorganizmi,1,2,42,73,49,87,7,261
Prokarioti,3,1,41,55,0,43,7,150
Altajski_jezici,4,3,8,85,82,108,5,295
Povijest_Bugarske,43,4,5,95,75,149,4,375
Životopisi,_Bugarska,16,9,20,218,31,127,6,427
Japanske_tvrtke,32,4,12,83,81,1085,1,1298
Računalne_tvrtke,52,11,16,234,38,200,1,552
Olimpijske_igre,38,8,88,1328,132,284,1,1879
Oklopna_vozila,20,6,26,337,39,337,1,766
Županije_Federacije_Bosne_i_Hercegovine,11,10,199,5076,40,262,1,5599
Športovi_na_ledu,11,8,91,766,0,53,1,930
Administrativna_podjela_Bosne_i_Hercegovine,2,4,274,7422,40,111,3,7856
Hrvatske_općine,2,21,49,1015,31,231,1,1350
Američki_filmski_umjetnici,46,4,7,1177,0,175,1,1410
Američki_glumci,6,3,5,1064,116,2037,1,3232
Francuski_filmski_umjetnici,1,2,3,54,0,53,4,117
Francuski_glumci,0,1,2,52,92,131,4,282
Zemljopis,8,3,179,3415,6,289,1,3901
Jezici,12,19,1440,7827,265,522,6,10091
Rusija,46,19,323,3050,244,620,3,4305
Otoci,23,7,224,2919,160,317,1,3651
Bitke,6,7,50,466,93,301,3,926
Općine_u_Bosni_i_Hercegovini,0,3,133,2639,26,88,1,2890
